,symbol,bucket,open,high,low,close,volume,comprador,indefinido,vendedor,naodireto,direto,rlp
0,EPAR3,2022-06-06,13.61,13.61,13.53,13.61,500,2,0,2,4,0,0
1,EPAR3,2022-06-07,14.39,14.5,14.39,14.5,500,3,0,0,3,0,0
2,EPAR3,2022-06-08,14.49,14.64,13.51,13.51,1400,11,0,2,13,0,0
3,EPAR3,2022-06-09,13.55,13.55,13.55,13.55,100,0,1,0,1,0,0
4,EPAR3,2022-06-13,13.0,13.38,12.99,13.16,1200,3,0,5,8,0,0
5,EPAR3,2022-06-15,12.71,12.71,12.71,12.71,200,0,0,2,2,0,0
6,EPAR3,2022-06-17,12.56,12.56,12.56,12.56,400,1,0,0,1,0,0
7,EPAR3,2022-06-20,12.3,12.3,12.3,12.3,100,0,0,1,1,0,0
8,EPAR3,2022-06-21,12.54,12.54,12.54,12.54,100,1,0,0,1,0,0
9,EPAR3,2022-06-22,12.11,12.15,12.11,12.15,400,0,0,3,3,0,0
10,EPAR3,2022-06-24,12.69,12.69,12.69,12.69,100,1,0,0,1,0,0
11,EPAR3,2022-06-27,13.07,14.0,13.07,13.28,700,4,0,1,5,0,0
12,EPAR3,2022-06-28,12.24,13.0,12.24,12.7,500,1,0,2,3,0,0
13,EPAR3,2022-06-29,12.66,12.95,12.65,12.95,500,2,0,2,4,0,0
14,EPAR3,2022-06-30,12.11,12.11,12.11,12.11,100,1,0,0,1,0,0
15,EPAR3,2022-07-04,12.05,12.06,12.0,12.0,500,1,0,2,3,0,0
16,EPAR3,2022-07-05,11.51,11.86,11.51,11.86,500,3,0,2,5,0,0
17,EPAR3,2022-07-06,12.59,12.59,12.0,12.12,300,2,0,1,3,0,0
18,EPAR3,2022-07-07,12.65,12.65,12.06,12.08,1000,1,0,7,8,0,0
19,EPAR3,2022-07-08,12.36,12.36,12.2,12.2,200,0,0,2,2,0,0
20,EPAR3,2022-07-11,12.49,12.49,12.49,12.49,100,0,0,1,1,0,0
21,EPAR3,2022-07-12,12.34,12.5,12.12,12.12,900,2,0,5,7,0,0
22,EPAR3,2022-07-13,12.11,12.11,11.48,12.01,1900,3,0,12,15,0,0
23,EPAR3,2022-07-14,11.6,11.81,11.6,11.61,2800,1,0,12,13,0,0
24,EPAR3,2022-07-19,11.56,11.56,11.56,11.56,100,0,0,1,1,0,0
25,EPAR3,2022-07-22,12.01,12.01,12.01,12.01,100,0,0,1,1,0,0
26,EPAR3,2022-07-25,12.1,12.1,11.51,11.51,1200,1,0,3,4,0,0
27,EPAR3,2022-07-28,11.52,11.52,11.52,11.52,100,0,0,1,1,0,0
28,EPAR3,2022-07-29,11.71,12.39,11.71,11.8,600,1,0,5,6,0,0
29,EPAR3,2022-08-03,12.0,12.0,11.99,11.99,500,2,0,0,2,0,0
30,EPAR3,2022-08-08,12.83,12.98,12.83,12.98,500,2,0,3,5,0,0
31,EPAR3,2022-08-09,12.97,13.89,12.65,12.65,1300,8,0,4,12,0,0
32,EPAR3,2022-08-10,13.1,13.1,12.7,13.09,500,1,0,2,3,0,0
33,EPAR3,2022-08-12,12.89,12.89,12.79,12.79,300,3,0,0,3,0,0
34,EPAR3,2022-08-15,12.8,12.95,12.8,12.95,500,0,0,2,2,0,0
35,EPAR3,2022-08-16,13.28,14.0,12.81,13.27,6000,13,0,3,16,0,0
36,EPAR3,2022-08-17,12.7,12.7,12.7,12.7,200,0,0,1,1,0,0
37,EPAR3,2022-08-18,12.7,12.7,12.65,12.65,500,1,0,3,4,0,0
38,EPAR3,2022-08-19,12.05,12.49,12.0,12.01,700,4,0,2,6,0,0
39,EPAR3,2022-08-22,11.85,12.0,11.8,11.8,3600,0,0,7,7,0,0
40,EPAR3,2022-08-23,12.0,12.0,12.0,12.0,500,1,0,3,4,0,0
41,EPAR3,2022-08-24,12.0,12.19,11.85,11.99,1100,6,0,3,9,0,0
42,EPAR3,2022-08-25,11.85,11.99,11.53,11.53,4000,4,2,11,16,1,0
43,EPAR3,2022-08-26,11.96,11.96,11.3,11.3,2000,2,0,10,12,0,0
44,EPAR3,2022-08-29,11.4,12.19,11.25,11.25,1600,6,0,9,15,0,0
45,EPAR3,2022-08-30,11.5,12.15,11.5,12.14,1900,12,1,4,17,0,0
46,EPAR3,2022-08-31,12.19,12.19,11.53,11.61,800,2,1,5,8,0,0
47,EPAR3,2022-09-01,11.51,11.89,11.51,11.71,1600,8,0,5,13,0,0
48,EPAR3,2022-09-02,11.8,11.8,11.7,11.8,300,1,0,2,3,0,0
49,EPAR3,2022-09-05,11.8,11.8,11.8,11.8,200,0,0,2,2,0,0
50,EPAR3,2022-09-06,12.04,12.43,12.04,12.43,1100,6,0,0,6,0,0
51,EPAR3,2022-09-09,12.5,12.5,12.39,12.5,2200,8,0,0,8,0,0
52,EPAR3,2022-09-12,12.46,13.0,11.56,12.2,3200,11,0,11,22,0,0
53,EPAR3,2022-09-13,11.64,11.96,11.6,11.96,1300,2,0,6,8,0,0
54,EPAR3,2022-09-14,11.82,11.82,11.69,11.69,1100,6,0,0,6,0,0
55,EPAR3,2022-09-15,11.7,11.7,11.7,11.7,100,0,0,1,1,0,0
56,EPAR3,2022-09-16,11.68,11.68,11.67,11.68,800,0,0,4,4,0,0
57,EPAR3,2022-09-19,11.5,12.18,11.5,11.7,1600,2,1,8,11,0,0
58,EPAR3,2022-09-20,11.8,11.8,11.53,11.53,900,0,1,6,7,0,0
59,EPAR3,2022-09-21,11.6,11.6,11.5,11.56,700,1,0,5,6,0,0
60,EPAR3,2022-09-22,11.5,11.6,11.5,11.6,1400,0,0,6,6,0,0
61,EPAR3,2022-09-27,11.6,11.6,11.5,11.51,1200,1,0,5,6,0,0
62,EPAR3,2022-09-28,11.6,11.6,11.51,11.52,900,0,0,6,6,0,0
63,EPAR3,2022-09-29,11.48,11.52,11.45,11.52,1300,1,0,5,6,0,0
64,EPAR3,2022-09-30,11.4,11.53,11.21,11.53,1400,6,0,6,12,0,0
65,EPAR3,2022-10-04,11.41,11.41,10.93,10.94,3900,2,0,23,25,0,0
66,EPAR3,2022-10-05,10.51,11.01,10.41,10.73,13500,14,0,40,54,0,0
67,EPAR3,2022-10-06,10.72,11.0,10.72,10.9,1800,2,0,6,8,0,0
68,EPAR3,2022-10-07,11.01,11.48,11.01,11.48,700,7,0,0,7,0,0
69,EPAR3,2022-10-10,11.1,11.11,11.1,11.11,300,0,0,3,3,0,0
70,EPAR3,2022-10-11,11.12,11.12,11.11,11.12,1000,0,0,2,2,0,0
71,EPAR3,2022-10-13,11.11,11.49,11.11,11.49,300,2,0,1,3,0,0
72,EPAR3,2022-10-14,11.49,11.7,11.49,11.49,1800,1,0,4,5,0,0
73,EPAR3,2022-10-17,11.88,11.88,11.84,11.84,400,3,0,0,3,0,0
74,EPAR3,2022-10-18,11.76,11.77,11.5,11.5,1100,2,0,6,8,0,0
75,EPAR3,2022-10-19,11.35,11.35,11.09,11.3,2400,12,0,4,16,0,0
76,EPAR3,2022-10-20,11.1,11.1,11.1,11.1,600,4,0,0,4,0,0
77,EPAR3,2022-10-21,11.1,11.1,11.0,11.05,2200,8,0,3,11,0,0
78,EPAR3,2022-10-24,11.1,11.1,11.0,11.0,800,0,0,6,6,0,0
79,EPAR3,2022-10-25,11.1,11.1,11.1,11.1,100,0,0,1,1,0,0
80,EPAR3,2022-10-26,11.0,11.0,10.93,10.97,300,1,0,2,3,0,0
81,EPAR3,2022-10-28,10.97,11.0,10.97,11.0,800,4,0,1,5,0,0
82,EPAR3,2022-10-31,10.51,10.57,10.41,10.49,1400,2,0,8,10,0,0
83,EPAR3,2022-11-01,11.29,11.29,11.01,11.01,700,3,0,1,4,0,0
84,EPAR3,2022-11-03,11.0,11.0,11.0,11.0,100,0,0,1,1,0,0
85,EPAR3,2022-11-04,11.3,11.3,10.95,10.95,4300,4,0,10,14,0,0
86,EPAR3,2022-11-07,10.7,10.91,10.59,10.6,1600,0,1,6,7,0,0
87,EPAR3,2022-11-08,10.65,10.65,10.58,10.58,1600,2,0,6,8,0,0
88,EPAR3,2022-11-09,10.6,10.86,10.5,10.86,900,1,0,4,5,0,0
89,EPAR3,2022-11-10,10.42,10.42,10.06,10.06,800,2,0,5,7,0,0
90,EPAR3,2022-11-14,10.01,10.17,10.01,10.17,300,0,0,3,3,0,0
91,EPAR3,2022-11-17,10.0,10.38,10.0,10.22,3900,14,2,5,21,0,0
92,EPAR3,2022-11-18,10.44,11.47,10.44,11.12,10600,29,0,14,43,0,0
93,EPAR3,2022-11-21,11.11,11.12,11.11,11.11,300,2,0,0,2,0,0
94,EPAR3,2022-11-22,10.6,10.6,10.54,10.58,1200,2,0,7,9,0,0
95,EPAR3,2022-11-23,10.98,10.98,10.66,10.67,1000,4,0,4,8,0,0
96,EPAR3,2022-11-24,10.67,10.67,10.67,10.67,300,0,0,2,2,0,0
97,EPAR3,2022-11-25,10.7,10.71,10.7,10.7,300,1,0,2,3,0,0
98,EPAR3,2022-11-29,10.4,10.7,10.4,10.7,300,1,0,2,3,0,0
99,EPAR3,2022-11-30,10.79,10.79,10.79,10.79,100,1,0,0,1,0,0
100,EPAR3,2022-12-01,10.79,10.9,10.41,10.46,2200,6,0,12,18,0,0
101,EPAR3,2022-12-02,10.33,10.5,10.33,10.5,500,1,1,1,3,0,0
102,EPAR3,2022-12-05,10.37,10.37,10.24,10.24,900,2,0,2,4,0,0
103,EPAR3,2022-12-07,10.05,10.07,10.05,10.07,600,1,0,3,4,0,0
104,EPAR3,2022-12-08,10.08,10.08,10.07,10.07,700,0,0,3,3,0,0
105,EPAR3,2022-12-09,10.07,10.07,10.02,10.02,400,0,0,2,2,0,0
106,EPAR3,2022-12-12,10.65,10.65,10.45,10.45,500,4,0,0,4,0,0
107,EPAR3,2022-12-13,10.25,10.26,10.15,10.15,3000,1,0,10,11,0,0
108,EPAR3,2022-12-14,9.93,9.95,9.92,9.95,700,1,0,4,5,0,0
109,EPAR3,2022-12-15,9.82,9.82,9.81,9.81,200,0,0,2,2,0,0
110,EPAR3,2022-12-19,10.15,10.15,10.15,10.15,200,1,0,0,1,0,0
111,EPAR3,2022-12-20,9.71,9.71,9.71,9.71,100,0,0,1,1,0,0
112,EPAR3,2022-12-21,9.8,9.8,9.8,9.8,400,1,0,1,2,0,0
113,EPAR3,2022-12-23,9.73,10.16,9.73,10.16,900,6,0,2,8,0,0
114,EPAR3,2022-12-26,9.96,9.96,9.76,9.76,800,0,1,2,2,1,0
115,EPAR3,2022-12-27,9.74,9.76,9.62,9.62,1600,1,0,10,11,0,0
116,EPAR3,2022-12-28,9.5,9.99,9.4,9.99,500,1,0,3,4,0,0
117,EPAR3,2022-12-29,9.76,9.76,9.75,9.75,800,0,0,4,4,0,0
118,EPAR3,2023-01-03,9.46,9.46,9.46,9.46,100,0,0,1,1,0,0
119,EPAR3,2023-01-04,9.45,9.52,9.45,9.49,1600,1,1,3,5,0,0
120,EPAR3,2023-01-05,9.25,9.46,9.25,9.45,1100,0,0,3,3,0,0
121,EPAR3,2023-01-06,9.85,9.85,9.85,9.85,600,1,0,2,3,0,0
122,EPAR3,2023-01-09,9.91,9.92,9.87,9.87,1200,3,0,2,5,0,0
123,EPAR3,2023-01-10,9.79,9.79,9.78,9.78,200,1,0,1,2,0,0
124,EPAR3,2023-01-11,9.52,9.78,9.45,9.45,20800,2,0,12,14,0,0
125,EPAR3,2023-01-13,9.55,9.55,9.55,9.55,100,1,0,0,1,0,0
126,EPAR3,2023-01-16,9.57,9.57,9.57,9.57,300,0,0,2,2,0,0
127,EPAR3,2023-01-17,9.87,9.87,9.87,9.87,400,2,0,0,2,0,0
128,EPAR3,2023-01-18,9.86,9.86,9.86,9.86,100,1,0,0,1,0,0
129,EPAR3,2023-01-19,9.92,9.92,9.89,9.92,2000,6,0,1,7,0,0
130,EPAR3,2023-01-20,9.46,9.92,9.46,9.92,400,2,0,1,3,0,0
131,EPAR3,2023-01-23,9.91,9.92,9.91,9.92,400,3,0,1,4,0,0
132,EPAR3,2023-01-24,9.46,9.88,9.08,9.6,2700,10,0,7,17,0,0
133,EPAR3,2023-01-25,9.53,9.7,9.53,9.53,1400,0,1,2,3,0,0
134,EPAR3,2023-01-26,9.21,9.9,9.21,9.63,1800,11,0,2,13,0,0
135,EPAR3,2023-01-30,9.35,9.35,9.35,9.35,400,0,0,1,1,0,0
136,EPAR3,2023-01-31,9.53,9.91,9.2,9.21,2900,2,0,6,8,0,0
137,EPAR3,2023-02-02,9.91,9.91,9.53,9.53,1800,1,1,2,4,0,0
138,EPAR3,2023-02-03,9.6,9.6,9.53,9.53,900,1,0,2,3,0,0
139,EPAR3,2023-02-06,9.52,9.55,9.52,9.55,300,1,0,1,2,0,0
140,EPAR3,2023-02-07,9.3,9.31,9.3,9.3,500,0,0,2,2,0,0
141,EPAR3,2023-02-08,9.31,9.35,9.31,9.35,600,0,0,4,4,0,0
142,EPAR3,2023-02-09,9.33,9.33,9.33,9.33,100,0,0,1,1,0,0
143,EPAR3,2023-02-10,9.56,9.56,9.56,9.56,100,1,0,0,1,0,0
144,EPAR3,2023-02-13,9.3,9.34,9.3,9.33,1100,1,0,3,4,0,0
145,EPAR3,2023-02-14,9.3,9.42,9.3,9.42,900,1,0,2,3,0,0
146,EPAR3,2023-02-15,9.41,9.53,9.41,9.5,900,4,0,3,7,0,0
147,EPAR3,2023-02-16,9.99,10.4,9.89,10.4,4600,16,0,2,18,0,0
148,EPAR3,2023-02-17,9.82,10.19,9.82,10.19,200,1,0,1,2,0,0
149,EPAR3,2023-02-20,9.82,10.19,9.82,10.19,200,1,0,1,2,0,0
150,EPAR3,2023-02-21,9.82,10.19,9.82,10.19,200,1,0,1,2,0,0
151,EPAR3,2023-02-24,10.23,10.23,10.19,10.19,1100,1,0,7,8,0,0
152,EPAR3,2023-02-27,10.0,10.19,10.0,10.19,400,2,0,1,3,0,0
153,EPAR3,2023-03-01,9.76,9.87,9.35,9.87,2100,1,0,12,13,0,0
154,EPAR3,2023-03-02,9.64,9.84,9.24,9.84,900,3,0,3,6,0,0
155,EPAR3,2023-03-06,9.92,9.92,9.79,9.8,600,4,0,0,4,0,0
156,EPAR3,2023-03-07,9.95,9.95,9.6,9.6,200,1,0,1,2,0,0
157,EPAR3,2023-03-08,9.89,9.89,9.89,9.89,200,1,0,0,1,0,0
158,EPAR3,2023-03-09,9.94,9.94,9.54,9.56,500,1,0,3,4,0,0
159,EPAR3,2023-03-10,9.61,9.61,9.46,9.5,600,0,0,5,5,0,0
160,EPAR3,2023-03-13,9.88,9.94,9.46,9.46,300,1,0,2,3,0,0
161,EPAR3,2023-03-14,9.84,10.8,9.84,10.6,3000,19,0,0,19,0,0
162,EPAR3,2023-03-16,10.49,10.5,10.49,10.5,400,2,0,1,3,0,0
163,EPAR3,2023-03-17,10.5,11.5,10.27,11.5,1100,6,0,3,9,0,0
164,EPAR3,2023-03-20,11.1,11.29,11.1,11.2,400,2,1,0,3,0,0
165,EPAR3,2023-03-21,11.1,11.1,10.9,10.9,600,4,0,2,6,0,0
166,EPAR3,2023-03-23,11.25,11.25,10.9,11.2,1300,6,0,1,7,0,0
167,EPAR3,2023-03-24,10.5,10.53,10.13,10.13,1500,4,0,8,12,0,0
168,EPAR3,2023-03-27,10.13,10.27,10.13,10.23,800,1,0,5,6,0,0
169,EPAR3,2023-03-28,10.45,10.45,10.25,10.42,1800,8,0,4,12,0,0
170,EPAR3,2023-03-29,10.5,10.5,10.02,10.02,1200,7,0,1,8,0,0
171,EPAR3,2023-04-04,9.86,9.86,9.85,9.85,500,0,0,5,5,0,0
172,EPAR3,2023-04-05,10.49,10.49,10.49,10.49,300,1,0,0,1,0,0
173,EPAR3,2023-04-06,10.5,10.5,10.36,10.37,1000,5,0,0,5,0,0
174,EPAR3,2023-04-07,10.5,10.5,10.36,10.37,1000,5,0,0,5,0,0
175,EPAR3,2023-04-11,10.56,10.56,10.5,10.5,500,0,0,2,2,0,0
176,EPAR3,2023-04-12,10.5,11.8,10.5,11.8,1700,10,0,1,11,0,0
177,EPAR3,2023-04-13,12.0,13.2,11.86,11.86,2900,7,1,6,14,0,0
178,EPAR3,2023-04-14,12.0,14.0,12.0,13.98,5300,21,0,10,31,0,0
179,EPAR3,2023-04-17,14.0,15.11,13.99,13.99,400,4,0,0,4,0,0
180,EPAR3,2023-04-19,13.82,13.99,13.82,13.82,600,6,0,0,6,0,0
181,EPAR3,2023-04-25,12.9,13.81,12.8,13.01,2000,4,0,7,11,0,0
182,EPAR3,2023-04-26,12.95,12.95,11.8,11.8,1400,1,0,10,11,0,0
183,EPAR3,2023-04-28,12.1,13.07,12.1,13.07,2400,7,1,5,13,0,0
184,EPAR3,2023-05-01,12.1,13.07,12.1,13.07,2400,7,1,5,13,0,0
185,EPAR3,2023-05-02,11.22,11.59,11.01,11.01,2900,8,0,7,15,0,0
186,EPAR3,2023-05-03,11.8,12.45,11.5,11.5,800,8,0,0,8,0,0
187,EPAR3,2023-05-04,11.5,12.92,11.5,11.69,900,0,1,5,6,0,0
188,EPAR3,2023-05-05,11.08,13.19,11.08,13.19,700,4,0,3,7,0,0
189,EPAR3,2023-05-08,13.09,13.09,12.83,12.83,500,4,0,0,4,0,0
190,EPAR3,2023-05-10,12.55,12.55,12.34,12.51,2000,15,1,2,18,0,0
191,EPAR3,2023-05-12,12.0,12.0,12.0,12.0,100,1,0,0,1,0,0
192,EPAR3,2023-05-15,11.88,11.88,11.88,11.88,200,1,0,1,2,0,0
193,EPAR3,2023-05-19,11.75,12.19,11.12,12.19,500,3,1,1,5,0,0
194,EPAR3,2023-05-22,12.49,12.49,12.38,12.39,1500,4,0,0,4,0,0
195,EPAR3,2023-05-26,11.5,11.5,11.49,11.49,400,0,0,2,2,0,0
196,EPAR3,2023-05-29,11.82,12.35,11.82,12.2,1200,9,1,1,11,0,0
197,EPAR3,2023-05-30,12.39,12.56,11.51,12.56,400,1,0,3,4,0,0
198,EPAR3,2023-06-02,12.49,12.5,12.49,12.5,1200,2,0,2,4,0,0
199,EPAR3,2023-06-05,12.09,12.49,12.09,12.49,400,2,0,1,3,0,0
200,EPAR3,2023-06-06,11.69,12.43,11.69,12.43,200,1,0,1,2,0,0
201,EPAR3,2023-06-07,12.5,13.49,12.5,13.27,3200,17,1,0,18,0,0
202,EPAR3,2023-06-09,13.3,13.3,13.3,13.3,400,0,4,0,4,0,0
203,EPAR3,2023-06-12,12.3,13.1,12.3,13.1,1300,9,0,0,9,0,0
204,EPAR3,2023-06-13,12.21,12.39,11.91,12.39,1200,3,0,6,9,0,0
205,EPAR3,2023-06-14,12.06,12.44,12.01,12.01,700,2,0,3,5,0,0
206,EPAR3,2023-06-15,12.01,12.46,12.0,12.0,600,5,0,1,6,0,0
207,EPAR3,2023-06-16,12.4,12.4,12.4,12.4,500,0,0,3,3,0,0
208,EPAR3,2023-06-19,12.4,12.4,12.4,12.4,100,1,0,0,1,0,0
209,EPAR3,2023-06-20,12.39,12.4,12.22,12.22,700,4,0,2,6,0,0
210,EPAR3,2023-06-21,12.26,12.26,12.21,12.21,600,0,0,4,4,0,0
211,EPAR3,2023-06-22,13.39,13.39,12.13,12.13,1400,5,0,7,12,0,0
212,EPAR3,2023-06-23,12.16,12.82,11.45,12.34,5900,6,6,16,28,0,0
213,EPAR3,2023-06-27,11.81,11.81,11.81,11.81,100,0,0,1,1,0,0
214,EPAR3,2023-06-28,11.83,12.38,11.83,12.35,2100,11,1,2,14,0,0
215,EPAR3,2023-06-29,12.26,12.26,12.26,12.26,100,1,0,0,1,0,0
216,EPAR3,2023-07-03,11.79,12.49,11.79,12.48,1400,6,0,3,9,0,0
217,EPAR3,2023-07-04,12.0,12.39,11.9,12.19,1800,5,0,4,9,0,0
218,EPAR3,2023-07-06,12.25,12.79,12.18,12.79,2300,5,0,0,5,0,0
219,EPAR3,2023-07-11,12.09,12.99,11.0,11.94,10400,20,0,48,68,0,0
220,EPAR3,2023-07-12,11.93,12.1,11.81,12.05,1500,3,1,6,10,0,0
221,EPAR3,2023-07-13,12.19,12.19,12.0,12.0,900,4,0,1,5,0,0
222,EPAR3,2023-07-14,12.08,12.1,11.81,12.1,1000,2,0,2,4,0,0
223,EPAR3,2023-07-17,11.8,11.8,11.8,11.8,200,0,1,0,1,0,0
224,EPAR3,2023-07-18,12.19,12.19,11.85,11.95,300,1,0,2,3,0,0
225,EPAR3,2023-07-19,12.19,12.19,12.15,12.15,200,2,0,0,2,0,0
226,EPAR3,2023-07-20,11.82,12.18,11.82,12.18,200,1,0,1,2,0,0
227,EPAR3,2023-07-24,11.99,12.16,11.99,12.16,800,4,0,1,5,0,0
228,EPAR3,2023-07-25,11.78,12.23,11.72,11.96,3100,8,0,14,22,0,0
229,EPAR3,2023-07-26,12.01,12.03,11.8,11.8,5800,11,1,17,29,0,0
230,EPAR3,2023-07-27,11.97,11.97,11.7,11.93,1200,5,0,1,6,0,0
231,EPAR3,2023-07-28,11.21,11.98,11.21,11.98,400,2,0,2,4,0,0
232,EPAR3,2023-07-31,12.04,12.04,11.2,11.2,3400,5,0,16,21,0,0
233,EPAR3,2023-08-01,11.69,11.74,11.23,11.69,1700,5,0,6,11,0,0
234,EPAR3,2023-08-02,11.69,11.98,11.43,11.51,1600,3,0,9,12,0,0
235,EPAR3,2023-08-03,11.64,11.66,11.64,11.64,600,1,0,2,3,0,0
236,EPAR3,2023-08-04,11.95,11.95,11.65,11.65,700,3,0,0,3,0,0
237,EPAR3,2023-08-07,11.96,11.96,11.63,11.7,900,4,0,2,6,0,0
238,EPAR3,2023-08-08,11.7,11.95,11.7,11.72,3100,4,0,3,7,0,0
239,EPAR3,2023-08-10,11.8,11.8,11.77,11.77,1000,0,0,4,4,0,0
240,EPAR3,2023-08-11,11.8,11.8,11.8,11.8,100,0,1,0,1,0,0
241,EPAR3,2023-08-14,11.8,11.86,11.07,11.35,2400,4,0,6,10,0,0
242,EPAR3,2023-08-15,11.15,11.35,11.14,11.14,4600,17,0,1,18,0,0
243,EPAR3,2023-08-16,12.1,12.55,11.77,12.38,17200,42,0,6,48,0,0
244,EPAR3,2023-08-17,12.37,12.51,12.37,12.51,1900,7,0,1,8,0,0
245,EPAR3,2023-08-18,12.76,13.49,12.11,12.7,3200,13,0,6,19,0,0
246,EPAR3,2023-08-21,12.82,13.5,12.4,13.5,20100,13,3,18,34,0,0
247,EPAR3,2023-08-22,13.99,14.68,13.5,14.47,4400,25,0,3,28,0,0
248,EPAR3,2023-08-23,13.91,14.0,13.7,14.0,5900,9,0,5,14,0,0
249,EPAR3,2023-08-25,14.39,14.4,14.22,14.4,500,2,2,0,4,0,0
250,EPAR3,2023-08-28,14.3,14.3,14.28,14.3,600,5,1,0,6,0,0
